key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,space_8.started,space_8.stopped,instr_only_4.started,instr_only_4.stopped,text_11.started,text_11.stopped,center_cross_2.started,center_cross_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,9.274821963015711,77.13093751997803,None,,,,,,,,,,,,001,2020_Oct_08_1502,Simcolourproject_2stim_asymm_v1,2020.1.2,60.094045504749836,
,,,,77.13093751997803,None,75.16377613900113,None,75.16377613900113,None,75.16377613900113,None,75.16377613900113,None,,,,,,,
