key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,space_8.started,space_8.stopped,instr_only_4.started,instr_only_4.stopped,text_11.started,text_11.stopped,center_cross_2.started,center_cross_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,13.191835541976616,64.97895040299045,None,,,,,,,,,,,,001,2020_Oct_08_1500,Simcolourproject_2stim_asymm_v1,2020.1.2,60.07873427036056,
,,,,64.97895040299045,None,62.994590596004855,None,62.994590596004855,None,62.994590596004855,None,62.994590596004855,None,,,,,,,
