Colour_1,Colour_2,Ecc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,text_23.started,text_23.stopped,response1disk_3.started,response1disk_3.stopped,response2disk_3.started,response2disk_3.stopped,response3disk_3.started,response3disk_3.stopped,response4disk_3.started,response4disk_3.stopped,response5disk_3.started,response5disk_3.stopped,response6disk_3.started,response6disk_3.stopped,response7disk_3.started,response7disk_3.stopped,response8disk_3.started,response8disk_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,text_26.started,text_26.stopped,rectangle_2.started,rectangle_2.stopped,response1disk_2.started,response1disk_2.stopped,response2disk_2.started,response2disk_2.stopped,response3disk_2.started,response3disk_2.stopped,response4disk_2.started,response4disk_2.stopped,response5disk_2.started,response5disk_2.stopped,response6disk_2.started,response6disk_2.stopped,response7disk_2.started,response7disk_2.stopped,response8disk_2.started,response8disk_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,rectangle.started,rectangle.stopped,text_25.started,text_25.stopped,text_24.started,text_24.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,6,PF,0,0,0,0,71.62393423501635,71.88935297797434,71.62393423501635,None,72.12146242702147,None,72.12146242702147,None,72.12146242702147,None,72.12146242702147,None,72.12146242702147,None,72.12146242702147,None,72.12146242702147,None,72.12146242702147,None,-0.07125,-0.13,1,0,0,response5disk,0.015141994401346892,None,72.12146242702147,None,72.12146242702147,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.07125,-0.13,1,0,0,response5disk,None,None,None,None,None,None,73.45639405597467,None,73.45639405597467,None,73.45639405597467,None,73.45639405597467,None,73.45639405597467,None,73.45639405597467,None,73.45639405597467,None,73.45639405597467,None,-0.01125,-0.005,1,0,0,rectangle,0.01117959653493017,None,73.45639405597467,None,73.45639405597467,None,73.45639405597467,None,,001,2020_Oct_12_1306,Simcolourproject_2stim_asymm_v1,2020.1.2,59.88298948342023,
1,3,PF,0,1,1,1,73.88970126601635,74.13999492599396,73.88970126601635,None,74.38966813101433,None,74.38966813101433,None,74.38966813101433,None,74.38966813101433,None,74.38966813101433,None,74.38966813101433,None,74.38966813101433,None,74.38966813101433,None,0.06,-0.1275,1,0,0,response3disk,0.015791776473633945,None,74.38966813101433,None,74.38966813101433,None,74.88936312147999,None,74.88936312147999,None,74.88936312147999,None,74.88936312147999,None,74.88936312147999,None,74.88936312147999,None,74.88936312147999,None,74.88936312147999,None,0.06,-0.1275,1,0,0,response3disk,0.003283030411694199,None,74.88936312147999,None,74.88936312147999,None,74.9099972989643,None,74.9099972989643,None,74.9099972989643,None,74.9099972989643,None,74.9099972989643,None,74.9099972989643,None,74.9099972989643,None,74.9099972989643,None,-0.0025,0.0025,1,0,0,rectangle,0.011367233993951231,None,74.9099972989643,None,74.9099972989643,None,74.9099972989643,None,,001,2020_Oct_12_1306,Simcolourproject_2stim_asymm_v1,2020.1.2,59.88298948342023,
1,2,FF,0,2,2,2,75.54423368698917,75.8072043780121,75.54423368698917,None,76.05766225000843,None,76.05766225000843,None,76.05766225000843,None,76.05766225000843,None,76.05766225000843,None,76.05766225000843,None,76.05766225000843,None,76.05766225000843,None,0.115,-0.08625,1,0,0,response3disk,0.015787118463777006,None,76.05766225000843,None,76.05766225000843,None,76.60776546848356,None,76.60776546848356,None,76.60776546848356,None,76.60776546848356,None,76.60776546848356,None,76.60776546848356,None,76.60776546848356,None,76.60776546848356,None,0.115,-0.08625,1,0,0,response3disk,0.0021874094964005053,None,76.60776546848356,None,76.60776546848356,None,76.64150784997037,None,76.64150784997037,None,76.64150784997037,None,76.64150784997037,None,76.64150784997037,None,76.64150784997037,None,76.64150784997037,None,76.64150784997037,None,0.01,-0.01875,1,0,0,rectangle,0.008517607988324016,None,76.64150784997037,None,76.64150784997037,None,76.64150784997037,None,,001,2020_Oct_12_1306,Simcolourproject_2stim_asymm_v1,2020.1.2,59.88298948342023,
3,8,PF,0,3,3,3,77.22674473602092,77.49174823099747,77.22674473602092,None,77.74288249597885,None,77.74288249597885,None,77.74288249597885,None,77.74288249597885,None,77.74288249597885,None,77.74288249597885,None,77.74288249597885,None,77.74288249597885,None,0.085,-0.155,1,0,0,response3disk,0.015745226526632905,None,77.74288249597885,None,77.74288249597885,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.085,-0.155,1,0,0,response3disk,None,None,None,None,None,None,78.19148900301661,None,78.19148900301661,None,78.19148900301661,None,78.19148900301661,None,78.19148900301661,None,78.19148900301661,None,78.19148900301661,None,78.19148900301661,None,0.015,-0.025,1,0,0,rectangle,0.008563479001168162,None,78.19148900301661,None,78.19148900301661,None,78.19148900301661,None,,001,2020_Oct_12_1306,Simcolourproject_2stim_asymm_v1,2020.1.2,59.88298948342023,
3,3,PF,0,4,4,4,78.82539714401355,79.07540028396761,78.82539714401355,None,79.32602239400148,None,79.32602239400148,None,79.32602239400148,None,79.32602239400148,None,79.32602239400148,None,79.32602239400148,None,79.32602239400148,None,79.32602239400148,None,-0.04125,-0.12125,1,0,0,response5disk,0.015858941536862403,None,79.32602239400148,None,79.32602239400148,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.04125,-0.12125,1,0,0,response5disk,None,None,None,None,None,None,80.02518243400846,None,80.02518243400846,None,80.02518243400846,None,80.02518243400846,None,80.02518243400846,None,80.02518243400846,None,80.02518243400846,None,80.02518243400846,None,0.0025,-0.01625,1,0,0,rectangle,0.007051896012853831,None,80.02518243400846,None,80.02518243400846,None,80.02518243400846,None,,001,2020_Oct_12_1306,Simcolourproject_2stim_asymm_v1,2020.1.2,59.88298948342023,
,,,,,,,80.71267671202077,80.97576728701824,80.71267671202077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
