Colour_1,Colour_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"(0,0,255)","(0,0,255)",0,0,0,4,62.13240736699663,None,62.13240736699663,None,62.38245093700243,None,62.38245093700243,None,62.38245093700243,None,62.38245093700243,None,62.38245093700243,None,62.38245093700243,None,62.38245093700243,None,62.38245093700243,None,0.0525,-0.125,1,0,0,response3disk,0.015113533794647083,None,62.38245093700243,None,,001,2020_Oct_09_1630,Simcolourproject_2stim_asymm_v1,2020.1.2,60.02984432641734,
"(0,255,169)","(0,255,169)",0,1,1,3,64.94978196299053,None,64.94978196299053,None,65.19984597098664,None,65.19984597098664,None,65.19984597098664,None,65.19984597098664,None,65.19984597098664,None,65.19984597098664,None,65.19984597098664,None,65.19984597098664,None,-0.05,0.08125,1,0,0,response7disk,0.015568044793326408,None,65.19984597098664,None,,001,2020_Oct_09_1630,Simcolourproject_2stim_asymm_v1,2020.1.2,60.02984432641734,
"(255,0,170)","(255,0,170)",0,2,2,6,66.53460436800378,None,66.53460436800378,None,66.78662350800005,None,66.78662350800005,None,66.78662350800005,None,66.78662350800005,None,66.78662350800005,None,66.78662350800005,None,66.78662350800005,None,66.78662350800005,None,0.04625,-0.095,1,0,0,response3disk,0.015169344813330099,None,66.78662350800005,None,,001,2020_Oct_09_1630,Simcolourproject_2stim_asymm_v1,2020.1.2,60.02984432641734,
"(0,255,0)","(0,255,0)",0,3,3,2,68.88478158100042,None,68.88478158100042,None,69.13570394099224,None,69.13570394099224,None,69.13570394099224,None,69.13570394099224,None,69.13570394099224,None,69.13570394099224,None,69.13570394099224,None,69.13570394099224,None,-0.0425,0.0975,1,0,0,response7disk,0.015220168832456693,None,69.13570394099224,None,,001,2020_Oct_09_1630,Simcolourproject_2stim_asymm_v1,2020.1.2,60.02984432641734,
"(255,0,0)","(255,0,0)",0,4,4,0,70.95302868497674,None,70.95302868497674,None,71.20368040399626,None,71.20368040399626,None,71.20368040399626,None,71.20368040399626,None,71.20368040399626,None,71.20368040399626,None,71.20368040399626,None,71.20368040399626,None,0.0675,-0.1375,1,0,0,response3disk,0.015346772823249921,None,71.20368040399626,None,,001,2020_Oct_09_1630,Simcolourproject_2stim_asymm_v1,2020.1.2,60.02984432641734,
,,,,,,73.68750591599382,None,73.68750591599382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
