Colour_1,Colour_2,Ecc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,text_23.started,text_23.stopped,response1disk_2.started,response1disk_2.stopped,response2disk_2.started,response2disk_2.stopped,response3disk_2.started,response3disk_2.stopped,response4disk_2.started,response4disk_2.stopped,response5disk_2.started,response5disk_2.stopped,response6disk_2.started,response6disk_2.stopped,response7disk_2.started,response7disk_2.stopped,response8disk_2.started,response8disk_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,rectangle.started,rectangle.stopped,text_24.started,text_24.stopped,text_25.started,text_25.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7,8,FF,0,0,0,97,100.2125826269912,100.47721253099735,100.2125826269912,None,100.69381241701194,None,100.69381241701194,None,100.69381241701194,None,100.69381241701194,None,100.69381241701194,None,100.69381241701194,None,100.69381241701194,None,100.69381241701194,None,0.05125,-0.1175,1,0,0,response3disk,0.015370987792266533,None,100.69381241701194,None,100.69381241701194,None,101.72667771601118,None,101.72667771601118,None,101.72667771601118,None,101.72667771601118,None,101.72667771601118,None,101.72667771601118,None,101.72667771601118,None,101.72667771601118,None,0.0,-0.00875,1,0,0,rectangle,0.003038577822735533,None,101.72667771601118,None,101.72667771601118,None,101.72667771601118,None,,001,2020_Oct_10_1436,Simcolourproject_2stim_asymm_v1,2020.1.2,59.97480721934135,
3,1,FF,0,1,1,125,107.12941529598902,107.37947192101274,107.12941529598902,None,107.62978678400395,None,107.62978678400395,None,107.62978678400395,None,107.62978678400395,None,107.62978678400395,None,107.62978678400395,None,107.62978678400395,None,107.62978678400395,None,0.1,-0.065,1,0,0,response3disk,0.015097601775778458,None,107.62978678400395,None,107.62978678400395,None,108.46671012300067,None,108.46671012300067,None,108.46671012300067,None,108.46671012300067,None,108.46671012300067,None,108.46671012300067,None,108.46671012300067,None,108.46671012300067,None,-0.00625,0.0,1,0,0,rectangle,0.010664771776646376,None,108.46671012300067,None,108.46671012300067,None,108.46671012300067,None,,001,2020_Oct_10_1436,Simcolourproject_2stim_asymm_v1,2020.1.2,59.97480721934135,
4,6,FF,0,2,2,122,109.93064361001598,110.18056122999405,109.93064361001598,None,110.43062503900728,None,110.43062503900728,None,110.43062503900728,None,110.43062503900728,None,110.43062503900728,None,110.43062503900728,None,110.43062503900728,None,110.43062503900728,None,0.0425,-0.11125,1,0,0,response3disk,0.015468863828573376,None,110.43062503900728,None,110.43062503900728,None,111.15065193999908,None,111.15065193999908,None,111.15065193999908,None,111.15065193999908,None,111.15065193999908,None,111.15065193999908,None,111.15065193999908,None,111.15065193999908,None,0.00375,-0.01875,1,0,0,rectangle,0.010719250829424709,None,111.15065193999908,None,111.15065193999908,None,111.15065193999908,None,,001,2020_Oct_10_1436,Simcolourproject_2stim_asymm_v1,2020.1.2,59.97480721934135,
2,6,PF,0,3,3,113,112.13150896099978,112.3814208820113,112.13150896099978,None,112.63181062901276,None,112.63181062901276,None,112.63181062901276,None,112.63181062901276,None,112.63181062901276,None,112.63181062901276,None,112.63181062901276,None,112.63181062901276,None,0.0575,-0.13,1,0,0,response3disk,0.015005598834250122,None,112.63181062901276,None,112.63181062901276,None,115.86656691800454,None,115.86656691800454,None,115.86656691800454,None,115.86656691800454,None,115.86656691800454,None,115.86656691800454,None,115.86656691800454,None,115.86656691800454,None,0.01625,-0.01,1,0,0,rectangle,0.008947697817347944,None,115.86656691800454,None,115.86656691800454,None,115.86656691800454,None,,001,2020_Oct_10_1436,Simcolourproject_2stim_asymm_v1,2020.1.2,59.97480721934135,
,,,,,,,120.15436523701646,120.41922545200214,120.15436523701646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
