Colour_1,Colour_2,Ecc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,text_23.started,text_23.stopped,response1disk_3.started,response1disk_3.stopped,response2disk_3.started,response2disk_3.stopped,response3disk_3.started,response3disk_3.stopped,response4disk_3.started,response4disk_3.stopped,response5disk_3.started,response5disk_3.stopped,response6disk_3.started,response6disk_3.stopped,response7disk_3.started,response7disk_3.stopped,response8disk_3.started,response8disk_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,text_26.started,text_26.stopped,rectangle_2.started,rectangle_2.stopped,response1disk_2.started,response1disk_2.stopped,response2disk_2.started,response2disk_2.stopped,response3disk_2.started,response3disk_2.stopped,response4disk_2.started,response4disk_2.stopped,response5disk_2.started,response5disk_2.stopped,response6disk_2.started,response6disk_2.stopped,response7disk_2.started,response7disk_2.stopped,response8disk_2.started,response8disk_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,rectangle.started,rectangle.stopped,text_25.started,text_25.stopped,text_24.started,text_24.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,6,PF,0,0,0,0,67.05776100896765,67.32255618897034,67.05776100896765,None,67.55562617100077,None,67.55562617100077,None,67.55562617100077,None,67.55562617100077,None,67.55562617100077,None,67.55562617100077,None,67.55562617100077,None,67.55562617100077,None,-0.0525,-0.115,1,0,0,response5disk,0.01521988253807649,None,67.55562617100077,None,67.55562617100077,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0525,-0.115,1,0,0,response5disk,None,None,None,None,None,None,69.08995597797912,None,69.08995597797912,None,69.08995597797912,None,69.08995597797912,None,69.08995597797912,None,69.08995597797912,None,69.08995597797912,None,69.08995597797912,None,-0.0175,0.0025,1,0,0,rectangle,0.008066125505138189,None,69.08995597797912,None,69.08995597797912,None,69.08995597797912,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
1,3,PF,0,1,1,1,69.43984713795362,69.68964745895937,69.43984713795362,None,69.94045136298519,None,69.94045136298519,None,69.94045136298519,None,69.94045136298519,None,69.94045136298519,None,69.94045136298519,None,69.94045136298519,None,69.94045136298519,None,0.0525,-0.09125,1,0,0,response3disk,0.015654322516638786,None,69.94045136298519,None,69.94045136298519,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0525,-0.09125,1,0,0,response3disk,None,None,None,None,None,None,70.35988995595835,None,70.35988995595835,None,70.35988995595835,None,70.35988995595835,None,70.35988995595835,None,70.35988995595835,None,70.35988995595835,None,70.35988995595835,None,0.0175,-0.01,1,0,0,rectangle,0.01199765398632735,None,70.35988995595835,None,70.35988995595835,None,70.35988995595835,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
1,2,FF,0,2,2,2,70.70961607800564,70.97402460698504,70.70961607800564,None,71.22522659599781,None,71.22522659599781,None,71.22522659599781,None,71.22522659599781,None,71.22522659599781,None,71.22522659599781,None,71.22522659599781,None,71.22522659599781,None,0.0525,0.08625,1,0,0,response1disk,0.01578930055256933,None,71.22522659599781,None,71.22522659599781,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0525,0.08625,1,0,0,response1disk,None,None,None,None,None,None,71.59512118599378,None,71.59512118599378,None,71.59512118599378,None,71.59512118599378,None,71.59512118599378,None,71.59512118599378,None,71.59512118599378,None,71.59512118599378,None,0.00375,0.0075,1,0,0,rectangle,0.010803053912241012,None,71.59512118599378,None,71.59512118599378,None,71.59512118599378,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
3,8,PF,0,3,3,3,71.99405807896983,72.25740854395553,71.99405807896983,None,72.50899665697943,None,72.50899665697943,None,72.50899665697943,None,72.50899665697943,None,72.50899665697943,None,72.50899665697943,None,72.50899665697943,None,72.50899665697943,None,0.1,-0.06,1,0,0,response3disk,0.015396338538266718,None,72.50899665697943,None,72.50899665697943,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.1,-0.06,1,0,0,response3disk,None,None,None,None,None,None,72.99173739895923,None,72.99173739895923,None,72.99173739895923,None,72.99173739895923,None,72.99173739895923,None,72.99173739895923,None,72.99173739895923,None,72.99173739895923,None,0.0025,-0.0175,1,0,0,rectangle,0.010360869928263128,None,72.99173739895923,None,72.99173739895923,None,72.99173739895923,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
3,3,PF,0,4,4,4,73.39503660198534,73.6589583879686,73.39503660198534,None,73.90879557997687,None,73.90879557997687,None,73.90879557997687,None,73.90879557997687,None,73.90879557997687,None,73.90879557997687,None,73.90879557997687,None,73.90879557997687,None,0.07125,-0.15875,1,0,0,response3disk,0.015644744504243135,None,73.90879557997687,None,73.90879557997687,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.07125,-0.15875,1,0,0,response3disk,None,None,None,None,None,None,74.2253354259883,None,74.2253354259883,None,74.2253354259883,None,74.2253354259883,None,74.2253354259883,None,74.2253354259883,None,74.2253354259883,None,74.2253354259883,None,0.00625,-0.01125,1,0,0,rectangle,0.00022444553906098008,None,74.2253354259883,None,74.2253354259883,None,74.2253354259883,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
6,1,FF,0,5,5,5,74.65860675100703,74.90881952899508,74.65860675100703,None,75.15993846900528,None,75.15993846900528,None,75.15993846900528,None,75.15993846900528,None,75.15993846900528,None,75.15993846900528,None,75.15993846900528,None,75.15993846900528,None,-0.045,-0.11375,1,0,0,response5disk,0.015779830515384674,None,75.15993846900528,None,75.15993846900528,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.045,-0.11375,1,0,0,response5disk,None,None,None,None,None,None,75.50968702597311,None,75.50968702597311,None,75.50968702597311,None,75.50968702597311,None,75.50968702597311,None,75.50968702597311,None,75.50968702597311,None,75.50968702597311,None,0.0225,0.0275,1,0,0,rectangle,0.01205538894282654,None,75.50968702597311,None,75.50968702597311,None,75.50968702597311,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
9,8,FF,0,6,6,6,76.21193425898673,76.47625628695823,76.21193425898673,None,76.72752164496342,None,76.72752164496342,None,76.72752164496342,None,76.72752164496342,None,76.72752164496342,None,76.72752164496342,None,76.72752164496342,None,76.72752164496342,None,-0.10875,-0.04875,1,0,0,response5disk,0.015650268527679145,None,76.72752164496342,None,76.72752164496342,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.10875,-0.04875,1,0,0,response5disk,None,None,None,None,None,None,77.2134914729977,None,77.2134914729977,None,77.2134914729977,None,77.2134914729977,None,77.2134914729977,None,77.2134914729977,None,77.2134914729977,None,77.2134914729977,None,-0.00125,0.02625,1,0,0,rectangle,0.012020965979900211,None,77.2134914729977,None,77.2134914729977,None,77.2134914729977,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
5,7,FF,0,7,7,7,77.61249154998222,77.87752899195766,77.61249154998222,None,78.12875049596187,None,78.12875049596187,None,78.12875049596187,None,78.12875049596187,None,78.12875049596187,None,78.12875049596187,None,78.12875049596187,None,78.12875049596187,None,0.06625,-0.11625,1,0,0,response3disk,0.015705080528277904,None,78.12875049596187,None,78.12875049596187,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.06625,-0.11625,1,0,0,response3disk,None,None,None,None,None,None,78.56093650095863,None,78.56093650095863,None,78.56093650095863,None,78.56093650095863,None,78.56093650095863,None,78.56093650095863,None,78.56093650095863,None,78.56093650095863,None,0.02625,-0.0175,1,0,0,rectangle,0.009125354001298547,None,78.56093650095863,None,78.56093650095863,None,78.56093650095863,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
5,4,FF,0,8,8,8,78.94436947896611,79.19446468196111,78.94436947896611,None,79.44586161896586,None,79.44586161896586,None,79.44586161896586,None,79.44586161896586,None,79.44586161896586,None,79.44586161896586,None,79.44586161896586,None,79.44586161896586,None,0.11875,-0.08375,1,0,0,response3disk,0.015724017517641187,None,79.44586161896586,None,79.44586161896586,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.11875,-0.08375,1,0,0,response3disk,None,None,None,None,None,None,79.88393892598106,None,79.88393892598106,None,79.88393892598106,None,79.88393892598106,None,79.88393892598106,None,79.88393892598106,None,79.88393892598106,None,79.88393892598106,None,0.0325,-0.01625,1,0,0,rectangle,0.010910480981692672,None,79.88393892598106,None,79.88393892598106,None,79.88393892598106,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
2,1,PF,0,9,9,9,80.31172360596247,80.56194615399,80.31172360596247,None,80.81301578698913,None,80.81301578698913,None,80.81301578698913,None,80.81301578698913,None,80.81301578698913,None,80.81301578698913,None,80.81301578698913,None,80.81301578698913,None,0.0525,-0.09875,1,0,0,response3disk,0.015644484548829496,None,80.81301578698913,None,80.81301578698913,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0525,-0.09875,1,0,0,response3disk,None,None,None,None,None,None,81.09845759900054,None,81.09845759900054,None,81.09845759900054,None,81.09845759900054,None,81.09845759900054,None,81.09845759900054,None,81.09845759900054,None,81.09845759900054,None,-0.00875,-0.00125,1,0,0,rectangle,0.012012433027848601,None,81.09845759900054,None,81.09845759900054,None,81.09845759900054,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
7,9,PF,0,10,10,10,81.48109948995989,81.74519038799917,81.48109948995989,None,81.99664607696468,None,81.99664607696468,None,81.99664607696468,None,81.99664607696468,None,81.99664607696468,None,81.99664607696468,None,81.99664607696468,None,81.99664607696468,None,-0.0475,-0.09125,1,0,0,response5disk,0.01580247253878042,None,81.99664607696468,None,81.99664607696468,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0475,-0.09125,1,0,0,response5disk,None,None,None,None,None,None,82.31642090698006,None,82.31642090698006,None,82.31642090698006,None,82.31642090698006,None,82.31642090698006,None,82.31642090698006,None,82.31642090698006,None,82.31642090698006,None,0.0025,0.01125,1,0,0,rectangle,0.012699613987933844,None,82.31642090698006,None,82.31642090698006,None,82.31642090698006,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
9,2,FF,0,11,11,11,82.69550821499433,82.94642076798482,82.69550821499433,None,83.19863465498202,None,83.19863465498202,None,83.19863465498202,None,83.19863465498202,None,83.19863465498202,None,83.19863465498202,None,83.19863465498202,None,83.19863465498202,None,0.09875,0.04875,1,0,0,response1disk,0.01547594350995496,None,83.19863465498202,None,83.19863465498202,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.09875,0.04875,1,0,0,response1disk,None,None,None,None,None,None,83.68393563496647,None,83.68393563496647,None,83.68393563496647,None,83.68393563496647,None,83.68393563496647,None,83.68393563496647,None,83.68393563496647,None,83.68393563496647,None,0.0075,-0.00625,1,0,0,rectangle,0.011670372972730547,None,83.68393563496647,None,83.68393563496647,None,83.68393563496647,None,,001,2020_Oct_12_1244,Simcolourproject_2stim_asymm_v1,2020.1.2,59.89609224891794,
