Colour_1,Colour_2,Ecc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,text_23.started,text_23.stopped,response1disk_3.started,response1disk_3.stopped,response2disk_3.started,response2disk_3.stopped,response3disk_3.started,response3disk_3.stopped,response4disk_3.started,response4disk_3.stopped,response5disk_3.started,response5disk_3.stopped,response6disk_3.started,response6disk_3.stopped,response7disk_3.started,response7disk_3.stopped,response8disk_3.started,response8disk_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,text_26.started,text_26.stopped,rectangle_2.started,rectangle_2.stopped,response1disk_2.started,response1disk_2.stopped,response2disk_2.started,response2disk_2.stopped,response3disk_2.started,response3disk_2.stopped,response4disk_2.started,response4disk_2.stopped,response5disk_2.started,response5disk_2.stopped,response6disk_2.started,response6disk_2.stopped,response7disk_2.started,response7disk_2.stopped,response8disk_2.started,response8disk_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,rectangle.started,rectangle.stopped,text_25.started,text_25.stopped,text_24.started,text_24.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,6,PF,0,0,0,0,65.93056198395789,66.19584753696108,65.93056198395789,None,66.42919838399393,None,66.42919838399393,None,66.42919838399393,None,66.42919838399393,None,66.42919838399393,None,66.42919838399393,None,66.42919838399393,None,66.42919838399393,None,-0.0375,-0.11875,1,0,0,response5disk,0.01522690342972055,None,66.42919838399393,None,66.42919838399393,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0375,-0.11875,1,0,0,response5disk,None,None,None,None,None,None,68.2637884169817,None,68.2637884169817,None,68.2637884169817,None,68.2637884169817,None,68.2637884169817,None,68.2637884169817,None,68.2637884169817,None,68.2637884169817,None,-0.02,0.0075,1,0,0,rectangle,0.009841684193816036,None,68.2637884169817,None,68.2637884169817,None,68.2637884169817,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
1,3,PF,0,1,1,1,68.61368435999611,68.86372175696306,68.61368435999611,None,69.11437300796388,None,69.11437300796388,None,69.11437300796388,None,69.11437300796388,None,69.11437300796388,None,69.11437300796388,None,69.11437300796388,None,69.11437300796388,None,0.04875,-0.15125,1,0,0,response3disk,0.015611255366820842,None,69.11437300796388,None,69.11437300796388,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.04875,-0.15125,1,0,0,response3disk,None,None,None,None,None,None,69.44698881998193,None,69.44698881998193,None,69.44698881998193,None,69.44698881998193,None,69.44698881998193,None,69.44698881998193,None,69.44698881998193,None,69.44698881998193,None,-0.0175,-0.02,1,0,0,rectangle,0.009953337837941945,None,69.44698881998193,None,69.44698881998193,None,69.44698881998193,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
1,2,FF,0,2,2,2,69.79767083999468,70.04817134496989,69.79767083999468,None,70.29892505996395,None,70.29892505996395,None,70.29892505996395,None,70.29892505996395,None,70.29892505996395,None,70.29892505996395,None,70.29892505996395,None,70.29892505996395,None,0.10625,-0.07125,1,0,0,response3disk,0.01587925443891436,None,70.29892505996395,None,70.29892505996395,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.10625,-0.07125,1,0,0,response3disk,None,None,None,None,None,None,70.63400058000116,None,70.63400058000116,None,70.63400058000116,None,70.63400058000116,None,70.63400058000116,None,70.63400058000116,None,70.63400058000116,None,70.63400058000116,None,0.00875,0.0,1,0,0,rectangle,0.012590009835548699,None,70.63400058000116,None,70.63400058000116,None,70.63400058000116,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
3,8,PF,0,3,3,3,70.96499558800133,71.2146921280073,70.96499558800133,None,71.46477911900729,None,71.46477911900729,None,71.46477911900729,None,71.46477911900729,None,71.46477911900729,None,71.46477911900729,None,71.46477911900729,None,71.46477911900729,None,-0.05125,0.0775,1,0,0,response7disk,0.01574710733257234,None,71.46477911900729,None,71.46477911900729,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.05125,0.0775,1,0,0,response7disk,None,None,None,None,None,None,71.88186495698756,None,71.88186495698756,None,71.88186495698756,None,71.88186495698756,None,71.88186495698756,None,71.88186495698756,None,71.88186495698756,None,71.88186495698756,None,0.01875,-0.01625,1,0,0,rectangle,0.008917024766560644,None,71.88186495698756,None,71.88186495698756,None,71.88186495698756,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
3,3,PF,0,4,4,4,72.21763078396907,72.48194983997382,72.21763078396907,None,72.73285994498292,None,72.73285994498292,None,72.73285994498292,None,72.73285994498292,None,72.73285994498292,None,72.73285994498292,None,72.73285994498292,None,72.73285994498292,None,0.13125,0.04125,1,0,0,response1disk,0.015336737385950983,None,72.73285994498292,None,72.73285994498292,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.13125,0.04125,1,0,0,response1disk,None,None,None,None,None,None,73.13540515099885,None,73.13540515099885,None,73.13540515099885,None,73.13540515099885,None,73.13540515099885,None,73.13540515099885,None,73.13540515099885,None,73.13540515099885,None,-0.0025,-0.015,1,0,0,rectangle,0.01270390977151692,None,73.13540515099885,None,73.13540515099885,None,73.13540515099885,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
6,1,FF,0,5,5,5,73.51775367796654,73.78301348298555,73.51775367796654,None,74.0334536669543,None,74.0334536669543,None,74.0334536669543,None,74.0334536669543,None,74.0334536669543,None,74.0334536669543,None,74.0334536669543,None,74.0334536669543,None,0.11375,-0.08625,1,0,0,response3disk,0.015621661324985325,None,74.0334536669543,None,74.0334536669543,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.11375,-0.08625,1,0,0,response3disk,None,None,None,None,None,None,74.34970681997947,None,74.34970681997947,None,74.34970681997947,None,74.34970681997947,None,74.34970681997947,None,74.34970681997947,None,74.34970681997947,None,74.34970681997947,None,-0.01875,-0.01,1,0,0,rectangle,0.008411709743086249,None,74.34970681997947,None,74.34970681997947,None,74.34970681997947,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
9,8,FF,0,6,6,6,75.18561245000456,75.4506506229518,75.18561245000456,None,75.70018198399339,None,75.70018198399339,None,75.70018198399339,None,75.70018198399339,None,75.70018198399339,None,75.70018198399339,None,75.70018198399339,None,75.70018198399339,None,0.06375,-0.1075,1,0,0,response3disk,0.015441373398061842,None,75.70018198399339,None,75.70018198399339,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.06375,-0.1075,1,0,0,response3disk,None,None,None,None,None,None,76.16808304196456,None,76.16808304196456,None,76.16808304196456,None,76.16808304196456,None,76.16808304196456,None,76.16808304196456,None,76.16808304196456,None,76.16808304196456,None,0.01125,-0.0275,1,0,0,rectangle,0.013697574730031192,None,76.16808304196456,None,76.16808304196456,None,76.16808304196456,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
5,7,FF,0,7,7,7,76.4861168419593,76.75143385597039,76.4861168419593,None,77.00153418199625,None,77.00153418199625,None,77.00153418199625,None,77.00153418199625,None,77.00153418199625,None,77.00153418199625,None,77.00153418199625,None,77.00153418199625,None,-0.035,-0.125,1,0,0,response5disk,0.0157392643741332,None,77.00153418199625,None,77.00153418199625,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.035,-0.125,1,0,0,response5disk,None,None,None,None,None,None,77.28765309898881,None,77.28765309898881,None,77.28765309898881,None,77.28765309898881,None,77.28765309898881,None,77.28765309898881,None,77.28765309898881,None,77.28765309898881,None,0.00125,-0.01375,1,0,0,rectangle,0.012039317807648331,None,77.28765309898881,None,77.28765309898881,None,77.28765309898881,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
5,4,FF,0,8,8,8,77.65382532600779,77.91826456296258,77.65382532600779,None,78.16970261995448,None,78.16970261995448,None,78.16970261995448,None,78.16970261995448,None,78.16970261995448,None,78.16970261995448,None,78.16970261995448,None,78.16970261995448,None,-0.09125,-0.06125,1,0,0,response5disk,0.015592428389936686,None,78.16970261995448,None,78.16970261995448,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.09125,-0.06125,1,0,0,response5disk,None,None,None,None,None,None,78.46990641299635,None,78.46990641299635,None,78.46990641299635,None,78.46990641299635,None,78.46990641299635,None,78.46990641299635,None,78.46990641299635,None,78.46990641299635,None,0.015,0.005,1,0,0,rectangle,0.013069657841697335,None,78.46990641299635,None,78.46990641299635,None,78.46990641299635,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
2,1,PF,0,9,9,9,78.78778279799735,79.05137861298863,78.78778279799735,None,79.3034352149698,None,79.3034352149698,None,79.3034352149698,None,79.3034352149698,None,79.3034352149698,None,79.3034352149698,None,79.3034352149698,None,79.3034352149698,None,0.125,-0.06625,1,0,0,response3disk,0.015785388357471675,None,79.3034352149698,None,79.3034352149698,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.125,-0.06625,1,0,0,response3disk,None,None,None,None,None,None,79.60244131297804,None,79.60244131297804,None,79.60244131297804,None,79.60244131297804,None,79.60244131297804,None,79.60244131297804,None,79.60244131297804,None,79.60244131297804,None,-0.03125,-0.01,1,0,0,rectangle,0.009725272713694721,None,79.60244131297804,None,79.60244131297804,None,79.60244131297804,None,,001,2020_Oct_12_1302,Simcolourproject_2stim_asymm_v1,2020.1.2,60.059724579031325,
