Colour_1,Colour_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"(0,255,169)","(0,255,169)",0,0,0,3,63.119705391989555,63.36978392599849,63.119705391989555,None,63.618978049984435,None,63.618978049984435,None,63.618978049984435,None,63.618978049984435,None,63.618978049984435,None,63.618978049984435,None,63.618978049984435,None,63.618978049984435,None,0.06,-0.14,1,0,0,response3disk,0.015222046291455626,None,63.618978049984435,None,,001,2020_Oct_09_1643,Simcolourproject_2stim_asymm_v1,2020.1.2,60.12154507668163,
"(255,170,0)","(255,170,0)",0,1,1,1,65.47106907499256,65.7196166899812,65.47106907499256,None,65.97192199598067,None,65.97192199598067,None,65.97192199598067,None,65.97192199598067,None,65.97192199598067,None,65.97192199598067,None,65.97192199598067,None,65.97192199598067,None,0.05,-0.11625,1,0,0,response3disk,0.015323058294598013,None,65.97192199598067,None,,001,2020_Oct_09_1643,Simcolourproject_2stim_asymm_v1,2020.1.2,60.12154507668163,
,,,,,,66.90447119899909,67.15444511399255,66.90447119899909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
