Colour_1,Colour_2,Ecc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,text_23.started,text_23.stopped,response1disk_2.started,response1disk_2.stopped,response2disk_2.started,response2disk_2.stopped,response3disk_2.started,response3disk_2.stopped,response4disk_2.started,response4disk_2.stopped,response5disk_2.started,response5disk_2.stopped,response6disk_2.started,response6disk_2.stopped,response7disk_2.started,response7disk_2.stopped,response8disk_2.started,response8disk_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,rectangle.started,rectangle.stopped,text_25.started,text_25.stopped,text_24.started,text_24.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,6,PF,0,0,0,0,58.01508592799655,58.28037569200387,58.01508592799655,None,58.513461347989505,None,58.513461347989505,None,58.513461347989505,None,58.513461347989505,None,58.513461347989505,None,58.513461347989505,None,58.513461347989505,None,58.513461347989505,None,-0.0275,-0.11375,1,0,0,response5disk,0.015065245417645201,None,58.513461347989505,None,58.513461347989505,None,60.09816403698642,None,60.09816403698642,None,60.09816403698642,None,60.09816403698642,None,60.09816403698642,None,60.09816403698642,None,60.09816403698642,None,60.09816403698642,None,0.0025,-0.01125,1,0,0,rectangle,0.004298958810977638,None,60.09816403698642,None,60.09816403698642,None,60.09816403698642,None,,001,2020_Oct_10_1455,Simcolourproject_2stim_asymm_v1,2020.1.2,59.836506555703444,
1,3,PF,0,1,1,1,60.615015604998916,60.8649467510113,60.615015604998916,None,61.11512267199578,None,61.11512267199578,None,61.11512267199578,None,61.11512267199578,None,61.11512267199578,None,61.11512267199578,None,61.11512267199578,None,61.11512267199578,None,0.05,-0.105,1,0,0,response3disk,0.015768031415063888,None,61.11512267199578,None,61.11512267199578,None,62.31570356199518,None,62.31570356199518,None,62.31570356199518,None,62.31570356199518,None,62.31570356199518,None,62.31570356199518,None,62.31570356199518,None,62.31570356199518,None,0.00375,0.005,1,0,0,rectangle,0.0030858654354233295,None,62.31570356199518,None,62.31570356199518,None,62.31570356199518,None,,001,2020_Oct_10_1455,Simcolourproject_2stim_asymm_v1,2020.1.2,59.836506555703444,
1,2,FF,0,2,2,2,63.383733877009945,63.633437607000815,63.383733877009945,None,63.8849147449946,None,63.8849147449946,None,63.8849147449946,None,63.8849147449946,None,63.8849147449946,None,63.8849147449946,None,63.8849147449946,None,63.8849147449946,None,0.1075,-0.0675,1,0,0,response3disk,0.015702744363807142,None,63.8849147449946,None,63.8849147449946,None,65.20085681500495,None,65.20085681500495,None,65.20085681500495,None,65.20085681500495,None,65.20085681500495,None,65.20085681500495,None,65.20085681500495,None,65.20085681500495,None,-0.025,-0.0075,1,0,0,rectangle,0.0021894303790759295,None,65.20085681500495,None,65.20085681500495,None,65.20085681500495,None,,001,2020_Oct_10_1455,Simcolourproject_2stim_asymm_v1,2020.1.2,59.836506555703444,
3,8,PF,0,3,3,3,66.23586518800585,66.500834631006,66.23586518800585,None,66.75329082898679,None,66.75329082898679,None,66.75329082898679,None,66.75329082898679,None,66.75329082898679,None,66.75329082898679,None,66.75329082898679,None,66.75329082898679,None,0.05125,-0.095,1,0,0,response3disk,0.015777038439409807,None,66.75329082898679,None,66.75329082898679,None,67.45090265700128,None,67.45090265700128,None,67.45090265700128,None,67.45090265700128,None,67.45090265700128,None,67.45090265700128,None,67.45090265700128,None,67.45090265700128,None,0.00875,-0.01875,1,0,0,rectangle,0.0035068074066657573,None,67.45090265700128,None,67.45090265700128,None,67.45090265700128,None,,001,2020_Oct_10_1455,Simcolourproject_2stim_asymm_v1,2020.1.2,59.836506555703444,
3,3,PF,0,4,4,4,68.25173151600757,68.50134997398709,68.25173151600757,None,68.75406312700943,None,68.75406312700943,None,68.75406312700943,None,68.75406312700943,None,68.75406312700943,None,68.75406312700943,None,68.75406312700943,None,68.75406312700943,None,0.05375,-0.1325,1,0,0,response3disk,0.01562717041815631,None,68.75406312700943,None,68.75406312700943,None,76.80640845300513,None,76.80640845300513,None,76.80640845300513,None,76.80640845300513,None,76.80640845300513,None,76.80640845300513,None,76.80640845300513,None,76.80640845300513,None,-0.00375,-0.0125,1,0,0,rectangle,0.005088886828161776,None,76.80640845300513,None,76.80640845300513,None,76.80640845300513,None,,001,2020_Oct_10_1455,Simcolourproject_2stim_asymm_v1,2020.1.2,59.836506555703444,
6,1,FF,0,5,5,5,79.37660561900702,79.64127055098652,79.37660561900702,None,79.8950549630099,None,79.8950549630099,None,79.8950549630099,None,79.8950549630099,None,79.8950549630099,None,79.8950549630099,None,79.8950549630099,None,79.8950549630099,None,-0.07625,-0.115,1,0,0,response5disk,0.015490801422856748,None,79.8950549630099,None,79.8950549630099,None,81.8634963289951,None,81.8634963289951,None,81.8634963289951,None,81.8634963289951,None,81.8634963289951,None,81.8634963289951,None,81.8634963289951,None,81.8634963289951,None,0.03125,0.02125,1,0,0,rectangle,0.013904618797823787,None,81.8634963289951,None,81.8634963289951,None,81.8634963289951,None,,001,2020_Oct_10_1455,Simcolourproject_2stim_asymm_v1,2020.1.2,59.836506555703444,
9,8,FF,0,6,6,6,82.50803808699129,82.7585998630093,82.50803808699129,None,83.00999956799205,None,83.00999956799205,None,83.00999956799205,None,83.00999956799205,None,83.00999956799205,None,83.00999956799205,None,83.00999956799205,None,83.00999956799205,None,0.03375,0.075,1,0,0,response1disk,0.015528516378253698,None,83.00999956799205,None,83.00999956799205,None,83.60887686698698,None,83.60887686698698,None,83.60887686698698,None,83.60887686698698,None,83.60887686698698,None,83.60887686698698,None,83.60887686698698,None,83.60887686698698,None,0.01625,-0.0125,1,0,0,rectangle,0.013409574807155877,None,83.60887686698698,None,83.60887686698698,None,83.60887686698698,None,,001,2020_Oct_10_1455,Simcolourproject_2stim_asymm_v1,2020.1.2,59.836506555703444,
5,7,FF,0,7,7,7,84.0429001149896,84.2924309509981,84.0429001149896,None,84.54416780400788,None,84.54416780400788,None,84.54416780400788,None,84.54416780400788,None,84.54416780400788,None,84.54416780400788,None,84.54416780400788,None,84.54416780400788,None,0.0425,-0.09375,1,0,0,response3disk,0.01563723140861839,None,84.54416780400788,None,84.54416780400788,None,84.99308903099154,None,84.99308903099154,None,84.99308903099154,None,84.99308903099154,None,84.99308903099154,None,84.99308903099154,None,84.99308903099154,None,84.99308903099154,None,0.02375,-0.02375,1,0,0,rectangle,6.642439984716475e-05,None,84.99308903099154,None,84.99308903099154,None,84.99308903099154,None,,001,2020_Oct_10_1455,Simcolourproject_2stim_asymm_v1,2020.1.2,59.836506555703444,
,,,,,,,85.52754352698685,85.7782699590025,85.52754352698685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
