Colour_1,Colour_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,response1disk_2.started,response1disk_2.stopped,response2disk_2.started,response2disk_2.stopped,response3disk_2.started,response3disk_2.stopped,response4disk_2.started,response4disk_2.stopped,response5disk_2.started,response5disk_2.stopped,response6disk_2.started,response6disk_2.stopped,response7disk_2.started,response7disk_2.stopped,response8disk_2.started,response8disk_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,rectangle.started,rectangle.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"(255,170,0)","(255,170,0)",0,0,0,1,67.17588188798982,67.42526025799452,67.17588188798982,None,67.67493850100436,None,67.67493850100436,None,67.67493850100436,None,67.67493850100436,None,67.67493850100436,None,67.67493850100436,None,67.67493850100436,None,67.67493850100436,None,-0.04125,-0.1325,1,0,0,response5disk,0.015033522387966514,None,67.67493850100436,None,68.87530277098995,None,68.87530277098995,None,68.87530277098995,None,68.87530277098995,None,68.87530277098995,None,68.87530277098995,None,68.87530277098995,None,68.87530277098995,None,-0.00625,0.00125,1,0,0,rectangle,0.00430048443377018,None,68.87530277098995,None,,001,2020_Oct_10_1015,Simcolourproject_2stim_asymm_v1,2020.1.2,60.242157806675,
"(0,255,169)","(0,255,169)",0,1,1,3,69.35969227398164,69.60992473398801,69.35969227398164,None,69.86022288698587,None,69.86022288698587,None,69.86022288698587,None,69.86022288698587,None,69.86022288698587,None,69.86022288698587,None,69.86022288698587,None,69.86022288698587,None,0.08125,-0.11375,1,0,0,response3disk,0.015193599392659962,None,69.86022288698587,None,70.54291047900915,None,70.54291047900915,None,70.54291047900915,None,70.54291047900915,None,70.54291047900915,None,70.54291047900915,None,70.54291047900915,None,70.54291047900915,None,0.0275,-0.01875,1,0,0,rectangle,0.006593481433810666,None,70.54291047900915,None,,001,2020_Oct_10_1015,Simcolourproject_2stim_asymm_v1,2020.1.2,60.242157806675,
"(255,0,170)","(255,0,170)",0,2,2,6,71.01093659500475,71.26074433498434,71.01093659500475,None,71.51009331698879,None,71.51009331698879,None,71.51009331698879,None,71.51009331698879,None,71.51009331698879,None,71.51009331698879,None,71.51009331698879,None,71.51009331698879,None,0.1,-0.06125,1,0,0,response3disk,0.015217414387734607,None,71.51009331698879,None,72.12783704098547,None,72.12783704098547,None,72.12783704098547,None,72.12783704098547,None,72.12783704098547,None,72.12783704098547,None,72.12783704098547,None,72.12783704098547,None,0.01125,-0.01,1,0,0,rectangle,0.007701625407207757,None,72.12783704098547,None,,001,2020_Oct_10_1015,Simcolourproject_2stim_asymm_v1,2020.1.2,60.242157806675,
"(170,0,255)","(170,0,255)",0,3,3,5,72.72794100598549,72.97750294598518,72.72794100598549,None,73.2282419189869,None,73.2282419189869,None,73.2282419189869,None,73.2282419189869,None,73.2282419189869,None,73.2282419189869,None,73.2282419189869,None,73.2282419189869,None,-0.065,0.09625,1,0,0,response7disk,0.015330153401009738,None,73.2282419189869,None,73.99529182698461,None,73.99529182698461,None,73.99529182698461,None,73.99529182698461,None,73.99529182698461,None,73.99529182698461,None,73.99529182698461,None,73.99529182698461,None,0.0,0.00875,1,0,0,rectangle,0.0077178624051157385,None,73.99529182698461,None,,001,2020_Oct_10_1015,Simcolourproject_2stim_asymm_v1,2020.1.2,60.242157806675,
,,,,,,74.46172457598732,74.71236020000651,74.46172457598732,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
