welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,space.started,space.stopped,participant,session,date,expName,psychopyVersion,frameRate,
94.32963650199235,None,space,1.0967844169936143,94.32963650199235,None,,,,001,2020_Oct_07_1514,Simcolourproject_2stim_asymm_v1,2020.1.2,60.050990372782444,
,,,,,,94.32963650199235,None,,,,,,,
