key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,space_8.started,space_8.stopped,instr_only_4.started,instr_only_4.stopped,text_11.started,text_11.stopped,center_cross_2.started,center_cross_2.stopped,polygon.started,polygon.stopped,text_12.started,text_12.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,7.339547942014178,66.2641210469883,None,,,,,,,,,,,,,,001,2020_Oct_08_1507,Simcolourproject_2stim_asymm_v1,2020.1.2,59.98494197499253,
,,,,66.2641210469883,None,64.27958950097673,None,64.27958950097673,None,64.27958950097673,None,64.27958950097673,None,64.27958950097673,None,,,,,,,
